Python Developer - Cloud Execution Environment,Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司,上海-长宁区,1.5-2万\/月,06-07,五险一金 弹性工作 专业培训,外资（欧美）,5000-10000人,通信\/电信\/网络设备,python
Python开发工程师,深圳市易佰网络科技有限公司,深圳-龙岗区,1-1.5万\/月,06-07,,民营公司,1000-5000人,互联网\/电子商务,python
Python开发工程师,深圳市易博天下科技有限公司,深圳-南山区,1.5-2.5万\/月,06-07,做五休二 周末双休 带薪年假 五险一金 绩效奖金 加班补贴,上市公司,500-1000人,互联网\/电子商务,python
Python开发工程师,成都路行通信息技术有限公司,成都-高新区,1-1.8万\/月,06-07,五险 餐饮补贴 专业培训 绩效奖金 节日福利 弹性工作 周末双休,民营公司,1000-5000人,互联网\/电子商务,python
Python研发主管,武汉乐创宝地教育科技有限公司,武汉-武昌区,0.8-1万\/月,06-07,,民营公司,,教育\/培训\/院校,python
Python开发工程师,广州机智云物联网科技有限公司,广州-天河区,6-8千\/月,06-07,,合资,50-150人,计算机软件,python
Python后端工程师,上海合墨数据科技有限公司,上海-浦东新区,0.7-1.2万\/月,06-07,,民营公司,50-150人,金融\/投资\/证券,python
Python开发工程师,南京数坤信息科技有限公司,南京-鼓楼区,0.6-1万\/月,06-07,做五休二 带薪年假 节日福利 餐饮补贴 员工旅游 员工生日 法定假日 五险一金 定期体检,民营公司,50-150人,计算机软件,python
Python软件开发工程师,上海移宇科技股份有限公司,上海-浦东新区,18-25万\/年,06-07,五险一金 定期体检 公司旅游 绩效奖金 员工旅游 年终奖金,合资,150-500人,医疗设备\/器械,python
Python 开发,南京博锐星润软件科技有限公司,南京-建邺区,1-1.5万\/月,06-07,五险一金 年终奖金 专业培训 不定期聚餐 不定期活动 13薪,民营公司,50-150人,计算机软件,python
Python开发工程师,上海井星信息科技有限公司,上海,1-2万\/月,06-07,周末双休 五险一金 带薪年假 节日福利,民营公司,50-150人,通信\/电信\/网络设备,python
Python开发工程师（中级）,广州银博信息技术有限公司,广州-天河区,0.8-1万\/月,06-07,五险一金 员工旅游 定期体检 专业培训,民营公司,50-150人,计算机软件,python
Python高级开发工程师,上海恒生聚源数据服务有限公司,杭州-滨江区,1.5-3万\/月,06-07,五险一金 员工旅游 定期体检 股票期权 年终奖金 餐饮补贴,民营公司,500-1000人,金融\/投资\/证券,python
Python开发工程师,上海祉云医疗科技有限公司,上海-浦东新区,1-2万\/月,06-07,五险一金 绩效奖金 发展空间大 带薪年假 扁平管理 岗位晋升 技能培训 节日礼物 管理规范,民营公司,50-150人,互联网\/电子商务,python
Python 应用开发工程师,上海沪万智能科技有限公司,上海-普陀区,0.7-1.3万\/月,06-07,五险一金 员工旅游 专业培训 绩效奖金 弹性工作,合资,少于50人,计算机软件,python
python爬虫工程师,深圳桑椹电子商务有限公司,深圳-龙华区,1-1.5万\/月,06-07,五险一金 弹性工作 绩效奖金 年终奖金 包吃 带薪年假 专业培训 员工旅游,民营公司,150-500人,互联网\/电子商务,python
