岗位名,公司名,工作地点,公司类型,公司规模,行业,工资水平,发布日期,福利待遇,关键字
数据挖掘,广州尊游软件科技有限公司,上海,民营公司,325.0,网络游戏,20000.0,04-25,,数据挖掘
数据挖掘,上海网鱼信息科技有限公司,上海,民营公司,,计算机软件,17500.0,04-25,,数据挖掘
数据挖掘,亚信科技OBC,银川,民营公司,10000.0,计算机软件,9000.0,04-25,五险一金 交通补贴 年终奖金,数据挖掘
数据挖掘,电信科学技术第五研究所有限公司,成都,国企,750.0,通信/电信/网络设备,11000.0,04-25,五险两金 绩效奖金 年终奖金 试用期全额 全额公积金 每年多次调薪 餐饮补贴 补充医疗保险 节日福利 三甲医院体检,数据挖掘
数据挖掘,浙江爱旭太阳能科技有限公司,义乌,上市公司,7500.0,新能源,20000.0,04-25,五险一金 绩效奖金 提供食宿 带薪年假 年终奖金 定期体检 免费班车 通讯补贴,数据挖掘
数据挖掘,CVTE,广州,上市公司,7500.0,计算机硬件,27500.0,04-25,五险一金 免费班车 弹性工作 创业激情 绩效奖金 股票期权 定期体检,数据挖掘
数据挖掘,中电鸿信信息科技有限公司,南京,国企,750.0,计算机软件,16000.0,04-25,五险一金 餐饮补贴 年终奖金 定期体检 节日福利 交通补贴 绩效奖金,数据挖掘
数据挖掘,浩鲸云计算科技股份有限公司,广州,合资,10000.0,计算机软件,24000.0,04-24,,数据挖掘
数据挖掘,武汉天喻教育科技有限公司,武汉,民营公司,750.0,计算机软件,14000.0,04-24,五险一金 免费班车 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,数据挖掘
数据挖掘,泰豪科技股份有限公司,西安,上市公司,750.0,多元化业务集团公司,17000.0,04-22,绩效奖金 年终奖金 交通补贴 通讯补贴 专业培训 五险一金,数据挖掘
数据挖掘,北京四维图新科技股份有限公司,北京,上市公司,3000.0,互联网/电子商务,52500.0,04-14,午餐补助 上市公司 生育补贴 团队聚餐 节日礼物 带薪年假 弹性工作,数据挖掘
数据挖掘,湖南大唐先一科技有限公司,北京,国企,750.0,计算机软件,12500.0,04-11,五险一金 绩效奖金 通讯补贴 定期体检 年终奖金,数据挖掘
数据挖掘,麒盛科技股份有限公司,嘉兴-秀洲区,上市公司,3000.0,家具/家电/玩具/礼品,12500.0,04-06,五险一金 包吃 包住宿 免费班车 绩效奖金 节日福利 交通补贴 通讯补贴 专业培训,数据挖掘
数据挖掘,立臻科技（昆山）有限公司,江苏省,外资（非欧美）,10000.0,计算机硬件,13500.0,04-25,弹性工作 五险一金 包住宿 免费班车 加班补贴 绩效奖金 周末双休,数据挖掘
数据挖掘,上海复深蓝软件股份有限公司,上海,上市公司,3000.0,计算机软件,19500.0,04-25,五险一金 年终奖金 做五休二 定期体检 绩效奖金,数据挖掘
数据挖掘,广东赢商网数据服务股份有限公司,广州,上市公司,750.0,互联网/电子商务,12500.0,04-25,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 周末双休,数据挖掘
数据挖掘,深圳市前海环娱网络科技有限公司,深圳,民营公司,100.0,网络游戏,37500.0,04-25,五险一金 餐饮补贴 绩效奖金 年终奖金 员工生日会 节日福利 全勤奖 带薪年假 年底双~六薪 生日礼品,数据挖掘
数据挖掘,青岛嘉淼网络科技有限公司,青岛,民营公司,,通信/电信/网络设备,9000.0,04-25,五险一金 绩效奖金 年终奖金 早九晚六 周末双休 带薪年假15天,数据挖掘
数据挖掘,九识（苏州）智能科技有限公司,苏州,外资（非欧美）,50.0,计算机软件,45000.0,04-25,16薪 五险一金 员工旅游 餐饮补贴 住房补贴 绩效奖金 年终奖金,数据挖掘
数据挖掘,四川神琥科技有限公司,成都,民营公司,100.0,计算机软件,12000.0,04-25,五险一金 年终奖金 周末双休 绩效奖金 弹性工作,数据挖掘
数据挖掘,无锡混沌能源技术有限公司,无锡,民营公司,,新能源,13333.333333333334,04-25,五险一金 弹性工作 定期体检 节日福利 生日福利 周末双休 下午茶 不定期团建,数据挖掘
数据挖掘,广州海格星航信息科技有限公司,广州,国企,325.0,通信/电信/网络设备,20000.0,04-25,五险一金 绩效奖金 年终奖金 免费班车 补充医疗保险 餐饮补贴 专业培训 定期体检 交通补贴,数据挖掘
数据挖掘,上海机颖智能科技有限公司,上海,外资（欧美）,100.0,计算机软件,27500.0,04-25,五险一金 补充医疗保险 交通补贴 餐饮补贴 弹性工作 定期体检,数据挖掘
数据挖掘,深圳市海目星激光智能装备股份有限公司,深圳,上市公司,3000.0,仪器仪表/工业自动化,27500.0,04-25,带薪年假 五险一金 包三餐 免费班车 全勤奖 节日福利 内部培训 晋升空间大 领导优秀 提供住宿,数据挖掘
数据库,朗盟生物科技（上海）有限公司,上海,外资（非欧美）,325.0,制药/生物工程,17500.0,04-25,五险一金 员工旅游 交通补贴 年终奖金 绩效奖金 出国机会 专业培训 通讯补贴 定期体检,数据挖掘
数据挖掘,北京航天测控技术有限公司,北京,国企,325.0,仪器仪表/工业自动化,24583.333333333336,04-25,补充医疗保险 通讯补贴 交通补贴 年终奖金 定期体检 餐饮补贴 六险两金,数据挖掘
数据挖掘,北京阿拉丁立方信息技术有限公司,北京,民营公司,100.0,计算机服务(系统、数据服务、维修),25000.0,04-25,五险一金 周末双休 专业培训 员工旅游 绩效奖金 年终奖金 股票期权,数据挖掘
数据挖掘,广州市茶滘置业发展有限公司,广州,民营公司,325.0,房地产,6500.0,04-25,五险一金 年终奖金 定期体检 包午餐 节日福利,数据挖掘
数据挖掘,深圳万唐实业有限公司,深圳,外资（非欧美）,100.0,通信/电信运营、增值服务,9000.0,04-25,,数据挖掘
数据挖掘,上海华钛信息科技有限公司,成都,民营公司,100.0,计算机软件,19500.0,04-25,五险一金 专业培训 定期体检 员工旅游 绩效奖金 年终奖金 做五休二,数据挖掘
数据挖掘,道格集团,广州,民营公司,325.0,互联网/电子商务,22500.0,04-25,弹性工作 带薪年假 五险一金 绩效奖金 全勤奖 节日福利 交通补贴 高提成 加班补贴,数据挖掘
数据挖掘,江苏维邦软件有限公司,常州,民营公司,100.0,计算机软件,12500.0,04-25,五险一金 员工旅游 周末双休 加薪机会 加班工资 出差补贴 节日福利,数据挖掘
数据挖掘,广东德信行信用管理有限公司,佛山,国企,100.0,计算机软件,12000.0,04-25,五险一金 餐饮补贴 员工体检 绩效奖金 年终奖金,数据挖掘
数据挖掘,广东蔚海数问大数据科技有限公司,广州,民营公司,100.0,计算机软件,13000.0,04-25,员工旅游 弹性工作 餐饮补贴 年终奖金 六险一金 员工体检,数据挖掘
数据分析,立信会计师事务所（特殊普通合伙）-北京分所,北京,民营公司,7500.0,会计/审计,12500.0,04-25,五险一金 定期体检 员工旅游 绩效奖金 交通补贴,数据挖掘
数据挖掘,上海宏原信息科技有限公司,上海,民营公司,100.0,互联网/电子商务,20000.0,04-25,五险一金 交通补贴 餐饮补贴 弹性工作 定期体检 年终奖金,数据挖掘
数据挖掘,上海宏序生物科技有限公司,上海,民营公司,50.0,制药/生物工程,13500.0,04-25,五险一金 年终奖金 定期体检 绩效奖金 员工旅游 弹性工作 节日福利,数据挖掘
数据挖掘,星诺大气环境科技（南京）有限公司,南京,民营公司,325.0,环保,15000.0,04-25,五险一金 员工旅游 餐饮补贴 年终奖金 包吃包住 生日福利 周末双休,数据挖掘
数据挖掘,金卫医保信息管理（中国）有限公司,上海,外资（非欧美）,325.0,保险,22500.0,04-25,,数据挖掘
数据挖掘,广州华资软件技术有限公司,北京,民营公司,3000.0,计算机软件,17500.0,04-25,五险一金 补充医疗保险 员工旅游 年终奖金 定期体检 节日礼金 14薪+,数据挖掘
数据挖掘,成都数联易康科技有限公司,成都,民营公司,100.0,计算机软件,10000.0,04-25,五险一金 员工旅游 绩效奖金,数据挖掘
数据挖掘,深圳索信达数据技术有限公司,广州,上市公司,750.0,互联网/电子商务,17500.0,04-25,五险一金 补充医疗保险 员工旅游 定期体检,数据挖掘
数据挖掘,上海新炬网络信息技术股份有限公司,上海,上市公司,3000.0,计算机服务(系统、数据服务、维修),19000.0,04-25,五险一金 员工旅游 通讯补贴 年终奖金 定期体检 技术氛围浓厚,数据挖掘
数据挖掘,八捌零捌（上海）科技有限公司,上海,民营公司,325.0,互联网/电子商务,25000.0,04-25,五险一金 年终奖金 弹性工作 员工旅游 出国机会 绩效奖金 餐饮补贴 交通补贴 通讯补贴 定期体检,数据挖掘
数据挖掘,广州瑞修得信息科技有限公司,广州,民营公司,325.0,互联网/电子商务,30000.0,04-25,五险一金 周末双休 专业培训,数据挖掘
数据挖掘,脉得智能科技（无锡）有限公司,成都,民营公司,50.0,医疗设备/器械,17500.0,04-25,,数据挖掘
数据挖掘,上海载德信息科技股份有限公司,上海,民营公司,325.0,通信/电信运营、增值服务,18000.0,04-25,五险一金 补充医疗保险 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检 加班补贴,数据挖掘
